Approximate Knowledge Data Request||||||||||
Category|Sub Category|No.|Product Image|Name|GEM|Price|Product Details|Size Variants|Star Rating|Del Options
||2|5054390173290|Ponte Pleat Skirt|GEM322767 |£6.00|"Smart staples are a must-have in every wardrobe and you’ll be set with this stunning Ponte pleat skirt. This fashionable and versatile pick is perfect for completing your looks with a truly sophisticated spin.

•  Elasticated waistband

Length: 16½ Inches / 42cm 
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||3|5054390173559|A Line Jersey Skirt|GEM322741 |£5.00|"Give your formal wardrobe a pretty spin with this lovely A line jersey skirt. This versatile piece will take you from your desk to the dance floor in style this season.

•  Elasticated waistband

Length: 26 Inches / 66cm 
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||4|5054390173429|A Line Patterned Jersey Skirt|GEM322730 |£5.00|"Give your formal wardrobe a pretty update with this A line patterned jersey skirt. This wonderful piece is the ultimate work-to-weekend pick that you’ll be mixing and matching with time and again.

•  Elasticated waistband

Length: 26 Inches / 66cm 
Mannequin height: 5’8"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054390173818|Mock Wrap Front Skirt|GEM322707|£4.00|"Equally flattering and sophisticated, this stunning mock wrap front skirt is bound to become a favourite. Whether you’re heading to work or out with friends, this versatile piece will have you oozing confidence this season.

•  Elasticated waistband

Length: 23½ Inches / 60cm 
Mannequin height: 5’8"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054390172927|Scuba Patterned Pencil Skirt|GEM322703 |£8.00|"Transform your formal wardrobe with this stunning scuba patterned pencil skirt. This sensational piece will hug your curves in all the right places and with a pop of colour, it will have you turning heads at all events this season.

•  Back vent
•  Elasticated waistband

Length: 25½ Inches / 65cm 
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054240848408|Flippy Hem Skirt|GEM319470 |£8.00|"A lovely light skirt to take you to the dance floor this weekend. It's sure to hit all the key style notes with the diagonal cut. 

•  Elasticated waist"|6,8,10,12,14,16,18,20,22,24,26,28|5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||8|5054390348292|Stripe Pencil Skirt|GEM318442 |£5.00|"The ultimate work-to-weekend staple, this stripe pencil skirt is a wonderful addition to any wardrobe. This bright piece will hug your curves and ensure all eyes are on you this season.

•  Elasticated waistband

Length: 27½ Inches / 70cm 
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||9|5054390348681|Floral Skater Skirt|GEM318397 |£8.00|"If you’re a floral fan, you’re sure to adore this delightful floral skater skirt. This versatile piece is perfect for adding a bold and on-trend print to your outfits this season.

•  Elasticated waistband

Length: 16½ Inches / 42cm 
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||10|5054390348421|Pencil Skirt|GEM318396 |£5.00|"The ultimate work-to-weekend staple, this pencil skirt is a wonderful addition to any wardrobe. This bright piece will hug your curves and ensure all eyes are on you this season.

•  Elasticated waistband

Length: 27½ Inches / 70cm 
Mannequin height: 5’8”"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
|Tops|1|5054390046334|Floral Blouse|GEM321389 |£8.00|"Infuse a summer spin into your formal wardrobe with this flawless floral blouse. Created with light fabric and adorned with an eye-catching and stunning floral print, you’ll be wearing this from work to the weekend.

•  Button through fastening
•  Long sleeve
•  Dipped hem"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
