Approximate Knowledge Data Request||||||||||
Category|Sub Category|No.|Product Image|Name|GEM|Price|Product Details|Size Variants|Star Rating|Del Options
||3|5054240796341|Belted Dark Wash Slim Fit Jeans|GEM317611 |£15.00|"Invest in a great new staple with these belted dark wash slim fit jeans this winter. Created to become your go-to versatile pick, you’ll be completing your outfits with these trendy jeans again and again this season.

•  Twin front and back pockets
•  Button and zip fly fastening
•  Adjustable turn-up hems"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|1|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||4|5054240466404|Rocky Slim Jeans|GEM311127 |£10.00|"Cut slim for a flattering and classic silhouette, this pair of mid blue jeans is all you'll need for your new season wardrobe. They're finished with stylish turn-ups and vintage detailing across the legs for a worn-in, authentic look. 

•  Pockets to the front and back"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054240466251|Slim Fit Jeans|GEM311126 |£10.00|"It's safe to say these will be your go-to-pair of jeans. The slim-fit will flatter you whilst keeping you comfortable throughout the day. They're smart-casual perfection for a range of stylish looks. 

•  Zip and button fastening 
•  Pockets"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054240466107|Straight Leg Jeans|GEM311125 |£12.00|"Update your casual wardrobe with these straight leg jeans. The ultimate versatile piece, these are bound to become the foundation for your outfits this season.

•  Twin front and back pockets
•  Button fly fastening"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054240465957|Slimfit Jeans|GEM311124|£10.00|"Invest in a cool new staple this season with these slimfit jeans. Designed to be a versatile piece, these jeans are super easy to dress up or down and are bound to be worn again and again.

•  Twin front and back pockets
•  Button and zip fly fastening"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|4.5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||8|5054240465803|Straight Leg Jeans|GEM311123 |£10.00|"Update your casual wardrobe with these straight leg jeans. The ultimate versatile piece, these are bound to become the foundation for your outfits this season.

•  Twin front and back pockets"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|4|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||9|5054240412906|Light Wash Belted Bootcut Jeans|GEM311107 |£15.00|"Stock up your denim collection with these easy, effortless bootcut jeans. The light wash makes them ideal for the weekend, while the detachable belt adds extra value to this classic pair. 

•  Detachable belt
•  Pockets to the front and back"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||10|5054240408022|Straight Leg Jeans|GEM311106|£10.00|"Add a great new staple to your wardrobe with these straight leg jeans. These versatile jeans are bound to become the key to your casual outfits this season.

•  Twin front and back pockets
•  Zip and button fly fastening"|32 Short34 Short36 Short38 Short30 Regular32 Regular34 Regular36 Regular38 Regular40 Regular42 Regular32 Long34 Long36 Long38|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
|Shirts|1|5054240957902|Tailor & Cutter 2 Pack Slim Fit Shirts|GEM313536 |£10.00|"Very smart and versatile, this Tailor & Cutter 2 pack of slim fit shirts is a great investment. The ultimate work-to-weekend pack, you’ll be able to mix and match to suit the occasion again and again with these.

•  Long sleeve
•  Button through fastening"|"14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||2|5054240939366|Boston Crew Stripe Shirt|GEM312453 |£10.00|"Add a stylish twist to your collection with this Boston Crew stripe shirt. Crafted using 100% cotton, this piece is a comfy and on-trend versatile staple that you’ll be wearing again and again.

•  Long sleeve
•  Button through fastening

Our Boston Crew collection offers a stylish selection of chinos, jeans and shorts to coordinate with understated shirts, t-shirts, knitwear and jackets, with a level of detailing you'd expect from a premium label."|S,M,L,XL,XXL,XXXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||3|5054240684464|Check Shirt|GEM312168 |£10.00|"Make a bold style statement this season with this striking check shirt. Created using 100% cotton, this comfy piece is ideal for topping off your casual outfits with a trendy twist.

•  Rhinestone buttons
•  Button through fastening
•  Twin chest pockets
•  Long sleeve"|6,,4,8,10,12,14,16,18,20.22.24|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
